INFO  - 2017-12-05 01:28:03.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-12-05 01:28:03.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/dist/solr-langid-4.8.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-12-05 01:28:03.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-12-05 01:28:03.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2017-12-05 01:28:03.235; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/dist/solr-velocity-4.8.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.267; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-12-05 01:28:03.270; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_48
INFO  - 2017-12-05 01:28:03.352; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-12-05 01:28:03.355; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2017-12-05 01:28:03.372; org.apache.solr.schema.IndexSchema; [collection1] Schema name=nutch
INFO  - 2017-12-05 01:28:03.447; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2017-12-05 01:28:03.448; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2017-12-05 01:28:03.454; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-12-05 01:28:03.505; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/cesar/Apps/solr-4.8.1/example/solr/collection1/
INFO  - 2017-12-05 01:28:03.513; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-12-05 01:28:03.517; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/cesar/Apps/solr-4.8.1/example/solr/collection1/, dataDir=/home/cesar/Apps/solr-4.8.1/example/solr/collection1/data/
INFO  - 2017-12-05 01:28:03.518; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-12-05 01:28:03.520; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
